Job title,Company name,Office location
"新着[マーケティング, リサーチャー・データサイエンティスト, 経営企画・事業企画]",株式会社VOYAGE　GROUP,渋谷区 道玄坂
新着データサイエンティスト,株式会社ティ・ティ・ワン,中央区 日本橋兜町
データサイエンティスト,株式会社キャピタルメディカ,港区 虎ノ門
国内最大級の音楽フェスを支えるデータアナリスト,株式会社ロッキング・オン・ホールディングス,渋谷区
事業開発(データビジネス/MaaS領域),Supershipグループ,港区 虎ノ門
【インターンシップ】WEB IT/ソフトウェア,株式会社フォーク,渋谷区 渋谷
データサイエンティスト,株式会社リクルートホールディングス,千代田区 丸の内
データサイエンティスト(データドリブンで事業を推進),ピクシブ株式会社,渋谷区
エコノミストおよびデータサイエンティストについて,東京大学エコノミックコンサルティング株式会社,文京区 本郷
データサイエンティスト(シニア),Vareal株式会社,港区 三田
新着若者多数在籍!データサイエンティスト/C# 成長できる環境,株式会社NEW GATE,墨田区
【データサイエンティスト】 年間休日127日 残業月15時間以内 実務未経験OK・研修あり/インターネット/Webサービ...,株式会社 SAKURUG,渋谷区 渋谷
データサイエンティスト(自然言語処理)/ Data Scientist (NLP),株式会社MonotaRO,港区 赤坂
データビジネス事業　事業開発担当,株式会社キャピタルメディカ,港区 虎ノ門
データ基盤エンジニア,株式会社ABEJA,港区 北青山
【障害者採用】<渋谷駅徒歩3分>データサイエンティスト,株式会社 ARISE analytics,渋谷区 渋谷
"[Medical] データサイエンティスト, ビジネスインテリジェンス & アナリティクス",Johnson & Johnson Family of Companies,千代田区
【ハイアット】Productivity Analyst,ハイアット・グローバル・コンタクトセンター東京,新宿区 西新宿
データサイエンティスト/データアナリスト,フィデル・コンサルティング株式会社,港区
新着SE(システムエンジニア),株式会社無限の始まり,足立区 千住東その他の勤務地(3)
マーケティングコンサルタント,トランスコスモス株式会社,渋谷区 東
データ入力/PC入力/オペレーター,Master Key株式会社,渋谷区 渋谷
新着【障害者採用】(契約)AIデータサイエンティスト(経験者,株式会社　ロボケン,豊島区 東池袋
"新着[マーケティング, リサーチャー・データサイエンティスト]",株式会社SmartHR,港区 六本木
"新着[マーケティング, 営業企画, その他企画・マーケティング関連職, 商品企画・商品開発, リサーチャー・データサイエンテ...",株式会社ジーノット,港区 東新橋
新着ファッション領域のデータサイエンティスト‗経験者のみ,株式会社ニューロープ,渋谷区 渋谷駅
【未経験・微経験】データサイエンティスト,株式会社ヘルスベイシス,港区 御成門駅その他の勤務地(1)
【ポテンシャル枠】データサイエンティスト ※宅急便システムの最適化/業務効率化/事業促進,ヤマト運輸株式会社,中央区 京橋駅
"新着[リサーチャー・データサイエンティスト, マーケティング]",株式会社ベーシック,千代田区 一番町
資産運用会社でのデータサイエンティスト募集,キュースクエア・テクノロジーズ株式会社,千代田区 大手町
"新着[マーケティング, リサーチャー・データサイエンティスト]",株式会社プレアデス,港区 東新橋
データサイエンティスト,株式会社エヌ・アンド・アイ・システムズ,千代田区 神保町駅
データサイエンティスト・技術開発(農業),株式会社オプティム,港区 海岸
経験者歓迎|データサイエンティスト(マーケティング/プライシング),株式会社MonotaRO,港区
データサイエンティスト・エンジニアリング,株式会社インテージ,千代田区
データサイエンティスト・技術開発(農業),株式会社オプティム,港区 海岸
新着プログラマー,株式会社無限の始まり,葛飾区 東金町その他の勤務地(4)
"新着[マーケティング, リサーチャー・データサイエンティスト]",ファインディ株式会社(Findy Inc),品川区 大崎広小路駅
【第二新卒/既卒】データサイエンティスト,サンブリッジソリューションズ株式会社,渋谷区
"新着[マーケティング, リサーチャー・データサイエンティスト]",株式会社viviON,千代田区 神田練塀町
"新着[マーケティング, リサーチャー・データサイエンティスト, 広報・IR]",株式会社オープンエイト,渋谷区 桜丘町
データサイエンティスト・アナリスト,株式会社Retail AI X,港区
機械学習エンジニア(データサイエンティスト),株式会社おいしい健康,中央区 人形町駅
【データサイエンティスト】,マシンラーニング・ソリューションズ株式会社,千代田区 大手町
【データサイエンティスト】 年間休日127日 残業月15時間以内 実務未経験OK・研修あり/インターネット/Webサービ...,株式会社 SAKURUG,渋谷区 渋谷
データサイエンティスト,株式会社アットリーフ 東京オフィス,台東区 台東
【障害者採用】<渋谷駅徒歩3分>データサイエンティスト,株式会社 ARISE analytics,渋谷区 渋谷
東京 リアルワールドデータサイエンティスト,イーピーエス株式会社,新宿区 新小川町
【データサイエンティスト】光加工機,株式会社ニコン,品川区 西大井駅
環境配慮AIベンチャー データサイエンティスト(python)/東京,株式会社グレイス,港区
データサイエンティスト(データ分析 / モデリング)/ Data Scientist (Data Analysis /...,株式会社MonotaRO,港区 赤坂
新着ファッション領域のデータサイエンティスト‗経験者のみ,株式会社ニューロープ,渋谷区 渋谷駅
【CTS-Auto】データリサーチャー(東京勤務)/経営/ビジネスコンサルティング・シンクタンク,PwCビジネスアシュアランス 合同会社,千代田区 大手町
AI開発用データ基盤の開発・クラウド環境構築(AI開発に関わる計算機、データ基盤のPaaSによる環境構築/東京),株式会社 アイシン,江東区 東京テレポート駅
データサイエンティスト,日鉄ソリューションズ株式会社,中央区 新川その他の勤務地(2)
個人投資家向け情報配信サービスデータサイエンティスト支援,株式会社スキルコネクト,渋谷区
資産運用会社でのデータサイエンティスト募集,キュースクエア・テクノロジーズ株式会社,千代田区 大手町
建設コンサルタント,株式会社サンビーム 交通システム部,千代田区 神田三崎町
データサイエンティスト 機械学習・深層学習・AIの基礎研究・開発,株式会社CINC,港区 赤坂
ソリューション法務室(データ・プライバシー領域担当),株式会社リクルート,千代田区 東京駅
経験者歓迎|データサイエンティスト(マーケティング/プライシング),株式会社MonotaRO,港区
カスタマーサクセスマネジャー,株式会社ブレインパッド,品川区 上大崎
データアナリスト・データサイエンティスト,株式会社True Data,港区
データサイエンティスト/エンドユーザ直/東京/経験浅,株式会社　デジタルリンク,港区 元麻布
新着社会インフラの維持管理に関するデータサイエンティスト/ジュニアデータサイエンティスト,Fracta Japan株式会社,渋谷区 渋谷
"新着[法人営業, マーケティング, リサーチャー・データサイエンティスト]",株式会社VOYAGE　GROUP,渋谷区 道玄坂
マーケティング、リサーチャー・データサイエンティスト,運営元 株式会社セフティライフ,港区 芝浦その他の勤務地(2)
新着動画プランナー,ROMTEC,渋谷区 恵比寿駅
データアナリスト/サイエンティスト(業界最大級のECサイト)/インターネット/Webサービス・ASP,株式会社 ベイクルーズ,渋谷区 渋谷
"新着[マーケティング, リサーチャー・データサイエンティスト, Webディレクター・Webプロデューサー]",弁護士ドットコム株式会社,港区 六本木
リサーチャー・データサイエンティスト,運営元 株式会社セフティライフ,新宿区 新宿その他の勤務地(1)
マネージャー(候補を含む)(データ分析),コグラフ株式会社,品川区 五反田駅
コンサルティングファーム データサイエンティスト(PM)/東京都,株式会社グレイス,新宿区
"新着[データベース設計・構築, リサーチャー・データサイエンティスト]",株式会社オープンエイト,渋谷区 桜丘町
データサイエンティスト:生産設備の異常検知、製品検査(機械学習、異音検知など/東京),株式会社 アイシン,江東区 東京テレポート駅
データエンジニア/Webマーケティング・ネット広告,株式会社 メンバーズ メンバーズデータアドベンチャーカンパニー,品川区 西五反田
新着【障害者採用】正社員　AIデータサイエンティスト(経験者),株式会社　ロボケン,豊島区 東池袋
データプランナー,デジタル・アドバタイジング・コンソーシアム株式会社,渋谷区 恵比寿
新着データサイエンティスト・アナリスト,エム・アール・アイリサーチアソシエイツ株式会社,千代田区
オンライン研修運営スタッフ,株式会社AVILEN,中央区 日本橋馬喰町
データサイエンティスト・データアナリスト 正社員 データサイエンティスト 経験者募集 月収30万以上,株式会社ハイデックス,渋谷区 渋谷駅
データサイエンティスト,Robert Half Japan,千代田区 大手町
【業務委託】求人広告の電話アポインター/商談なし,Nishika株式会社,港区 田町駅•リモート勤務
【日本版Kaggleを創る】業務委託/データサイエンティスト(ジュニア),Nishika(ニシカ) - Nishika株式会社,港区 田町駅
"新着[マーケティング, リサーチャー・データサイエンティスト]",株式会社viviON,千代田区 神田練塀町
"新着[マーケティング, リサーチャー・データサイエンティスト, 広報・IR]",株式会社オープンエイト,渋谷区 桜丘町
データサイエンティスト,I&CO Tokyo合同会社,渋谷区 恵比寿駅
機械学習エンジニア(データサイエンティスト),株式会社おいしい健康,中央区 人形町駅
データサイエンティスト・エンジニアリング,第一三共RDノバーレ株式会社,江戸川区
【データサイエンティスト】,マシンラーニング・ソリューションズ株式会社,千代田区 大手町
データサイエンティスト,株式会社アットリーフ 東京オフィス,台東区 台東
データサイエンティスト・アナリスト,三菱総研DCS株式会社,中野区
東京 リアルワールドデータサイエンティスト,イーピーエス株式会社,新宿区 新小川町
【データサイエンティスト】光加工機,株式会社ニコン,品川区 西大井駅
環境配慮AIベンチャー データサイエンティスト(python)/東京,株式会社グレイス,港区
データサイエンティスト(データ分析 / モデリング)/ Data Scientist (Data Analysis /...,株式会社MonotaRO,港区 赤坂
AI開発用データ基盤の開発・クラウド環境構築(AI開発に関わる計算機、データ基盤のPaaSによる環境構築/東京),株式会社 アイシン,江東区 東京テレポート駅
データサイエンティスト,日鉄ソリューションズ株式会社,中央区 新川その他の勤務地(2)
個人投資家向け情報配信サービスデータサイエンティスト支援,株式会社スキルコネクト,渋谷区
建設コンサルタント,株式会社サンビーム 交通システム部,千代田区 神田三崎町
【CTS-Auto】データリサーチャー(東京勤務)/経営/ビジネスコンサルティング・シンクタンク,PwCビジネスアシュアランス 合同会社,千代田区 大手町
データサイエンティスト 機械学習・深層学習・AIの基礎研究・開発,株式会社CINC,港区 赤坂
ソリューション法務室(データ・プライバシー領域担当),株式会社リクルート,千代田区 東京駅
企業内研修事業SE/経営/ビジネスコンサルティング・シンクタンク,株式会社 グロービス,千代田区 二番町
【データサイエンティスト】 年間休日127日 残業月15時間以内 実務未経験OK・研修あり/インターネット/Webサービ...,株式会社 SAKURUG,渋谷区 渋谷
カスタマーサクセスマネジャー,株式会社ブレインパッド,品川区 上大崎
【障害者採用】<渋谷駅徒歩3分>データサイエンティスト,株式会社 ARISE analytics,渋谷区 渋谷
データサイエンティスト/エンドユーザ直/東京/経験浅,株式会社　デジタルリンク,港区 元麻布
新着社会インフラの維持管理に関するデータサイエンティスト/ジュニアデータサイエンティスト,Fracta Japan株式会社,渋谷区 渋谷
"新着[法人営業, マーケティング, リサーチャー・データサイエンティスト]",株式会社VOYAGE　GROUP,渋谷区 道玄坂
新着データアナリスト・データサイエンティスト,EY新日本有限責任監査法人,千代田区
マーケティング、リサーチャー・データサイエンティスト,運営元 株式会社セフティライフ,港区 芝浦その他の勤務地(2)
新着動画プランナー,ROMTEC,渋谷区 恵比寿駅
データアナリスト・データサイエンティスト,株式会社True Data,港区
コンサル系総合職,株式会社クラウディオサステナビリティ,中央区 銀座
データサイエンティスト・エンジニアリング,三菱UFJインフォメーションテクノロジー株式会社,中野区
【STC】データサイエンティスト,パイオニア 株式会社,文京区 本駒込
データ分析エンジニアマネージャー/ソフトウェア/パッケージベンダ,ブレインズテクノロジー 株式会社,港区 高輪
データサイエンティスト,ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,東京都 23区
データ解析ソフトウェアの開発エンジニア,日本科学技術研修所,渋谷区
【インターンシップ】コンサルティング IT/ソフトウェア,TheROOM Door株式会社,港区 六本木駅
データサイエンティスト(機械学習を用いたｻｰﾋﾞｽの顧客への提案・ｺﾝｻﾙﾃｨﾝｸﾞ業務)【B職】,株式会社キーエンス,港区 台場
データ分析コンサルタント《設立50年の安定企業》/未経験,株式会社デジタルフォルン,千代田区 霞ケ関駅
各種データ(リアル、ネット、メディア...)を軸とした各種企画や施策における「リサーチ」や「ソリューション」の提案,カルチュア･コンビニエンス・クラブグループ,渋谷区 南平台町
【インターンシップ】商社,株式会社パーツワン,渋谷区 代々木
データサイエンティスト(リード),Vareal株式会社,港区 三田
2022 新卒採用 エンジニア職(サービス開発コース),株式会社Gunosy,渋谷区 渋谷
新着デジタルコンサルタント,株式会社Anfini,荒川区 日暮里駅
パートナーセールス,Supershipグループ,港区 虎ノ門
人事(リーダー候補 / Supershipグループ企業),Supershipグループ,港区 虎ノ門
データアナリスト・データサイエンティスト,HAVIサプライチェーン・ソリューションズ・ジャパン合同会社,中野区
データサイエンティスト(小売・製造業),TDSE株式会社,新宿区 西新宿
データエンジニア/データサイエンティスト,株式会社電通テック,千代田区 内幸町
セールス(SSP),Supershipグループ,港区 虎ノ門
プロダクトマネージャー/ITコンサルティング,MI-6 株式会社,港区 新橋
データサイエンティスト・データアナリスト 正社員 データサイエンティスト 経験者募集 月収30万以上,株式会社ハイデックス,渋谷区 渋谷駅
SaaS領域マーケティング(プロダクト担当),株式会社リクルート,千代田区 東京駅
新着データサイエンティスト,運営元 株式会社ジュエルキャリア,中央区その他の勤務地(1)
テクノロジーストラテジスト,Supershipグループ,港区 虎ノ門
データ分析支援 /BIエンジニア(プロジェクトリーダー),株式会社CCNグループ,千代田区
ビッグデータエンジニア(開発エンジニア),ディップ株式会社,港区 六本木
データエンジニア(データ抽出、加工、解析、集計)/Webマーケティング・ネット広告,株式会社 アドインテ,新宿区 西新宿
データサイエンティスト,Supershipグループ,港区 虎ノ門
マーケティング,株式会社ジャパネットメディアクリエーション,港区
国内最大級の量の自社データ保有!/DX推進/KDDI×電通グループ,Supershipグループ,港区 虎ノ門
データサイエンティスト,株式会社マスメディアン,千代田区
アプリ・サービス企画,カシオ計算機株式会社,八王子市
マーケティング/商品企画/リサーチャー(アプリ開発企業でデータサイエンティスト),株式会社レッツアイ,渋谷区 北参道駅
AIビジネスコンサルタント,株式会社ブレインパッド,品川区 上大崎
事業企画・新規事業開発,株式会社justInCaseTechnologies,中央区
データサイエンティスト(シニアコンサルタント)※宅急便システムの最適化/業務効率化/事業促進,ヤマト運輸株式会社,中央区 京橋駅
a・i lab・|データサイエンティスト,マイナビクリエイター,品川区 大崎駅
2023 インターンシップ ソフトウェア,株式会社スカイウイル,品川区 北品川
データサイエンティスト(京都/東京),type転職エージェント,渋谷区 渋谷駅
【インターンシップ】コンサルティング IT/ソフトウェア,IBIS Data株式会社,港区 六本木駅
【日本版Kaggleを創る】学生長期インターン/データアナリスト,Nishika(ニシカ) - Nishika株式会社,港区 三田駅
【日本版Kaggleを創る】学生長期インターン/AIエンジニア,Nishika(ニシカ) - Nishika株式会社,港区 田町駅
上場損害保険グループでデータ利活用に関する各種プロジェクトに携わる【データサイエンティスト】,エイクエント,新宿区 新宿駅
新着データを元に事業を動かすデータアナリスト,マスターキー株式会社,渋谷区 渋谷
【日本版Kaggleを創る】学生長期インターン/データアナリスト,Nishika(ニシカ) - Nishika株式会社,港区 三田駅
【日本版Kaggleを創る】学生長期インターン/AIエンジニア,Nishika(ニシカ) - Nishika株式会社,港区 田町駅
上場損害保険グループでデータ利活用に関する各種プロジェクトに携わる【データサイエンティスト】,エイクエント,新宿区 新宿駅
新着データを元に事業を動かすデータアナリスト,マスターキー株式会社,渋谷区 渋谷
データサイエンティスト(カイポケ/データ活用),株式会社エフ・グッド,港区 芝公園
分析エンジニア,TheROOMDoor株式会社,港区 六本木
データサイエンティスト(広告事業).,Supership株式会社,港区
【日本版Kaggleを創る】正社員/データサイエンティスト(ジュニア),Nishika(ニシカ) - Nishika株式会社,港区 三田駅
"新着[法人営業, マーケティング, リサーチャー・データサイエンティスト, 営業・マーケティングコンサルタント]",株式会社sizebook,港区 芝浦
データサイエンティスト,SBヒューマンキャピタル株式会社,港区 六本木
【日本版Kaggleを創る】正社員/データサイエンティスト(シニア),Nishika(ニシカ) - Nishika株式会社,港区 田町駅
新着データサイエンティスト(Digital Innovation本部 Data Science課),アデコグループ,千代田区 霞ケ関駅
データサイエンティスト・データアナリスト 正社員 データサイエンティスト 経験者募集 月収30万以上,株式会社ハイデックス,渋谷区 渋谷駅
新規事業データサイエンティスト/レバテックダイレクト,レバレジーズ株式会社,渋谷区 渋谷
データサイエンティスト,株式会社インター・ビュー,渋谷区その他の勤務地(2)
新卒採用 データサイエンティスト,チームラボ株式会社,千代田区 神田小川町
国内最大級の量の自社データ保有!/KDDI×電通グループ,Supershipグループ,港区 虎ノ門
データビジネスにおけるデータサイエンティスト/データアナリスト(東芝データ出向),株式会社東芝,港区 芝浦
新着[リサーチャー・データサイエンティスト],株式会社フルスピード,渋谷区 円山町
データアナリスト・データサイエンティスト,パーソルプロセス&テクノロジー株式会社,江東区
【データサイエンティスト】 年間休日127日 残業月15時間以内 実務未経験OK・研修あり/インターネット/Webサービ...,株式会社 SAKURUG,渋谷区 渋谷
データサイエンティストマネージャー【管理職】,JCOM株式会社,千代田区 丸の内
データサイエンティスト(マーケティング/プライシング) / Data Scientist (Marketing/Pric...,株式会社MonotaRO,港区 赤坂
【障害者採用】<渋谷駅徒歩3分>データサイエンティスト,株式会社 ARISE analytics,渋谷区 渋谷
データアナリスト,株式会社アライバルクオリティー,渋谷区 恵比寿西
水環境×AIベンチャー データサイエンティスト/東京都,株式会社グレイス,新宿区 高田馬場
データエンジニア(データ分析),コグラフ株式会社,品川区 五反田駅
データサイエンティスト(製造業),TDSE株式会社,新宿区 西新宿
【DX推進室】データサイエンティスト,株式会社マスメディアン,港区
"新着[マーケティング, リサーチャー・データサイエンティスト, Webディレクター・Webプロデューサー]",株式会社ぐるなび,東京都 23区
データコンサルタント/ITコンサルティング,フロッグウェル 株式会社,港区 新橋
データサイエンティスト/シニアデータサイエンティスト...,Robert Half Japan,千代田区 大手町
Python データサイエンティスト|ビッグデータの分析,ワークスアイディ株式会社,渋谷区
パートナーセールス,AI CROSS株式会社,港区 西新橋
【Python】Pythonデータ分析 AI活用案件 【リモートOK】,非公開,千代田区 東京駅
新着ファッション領域のデータサイエンティスト‗経験者のみ,株式会社ニューロープ,渋谷区 渋谷駅
データサイエンティスト データアナリスト,株式会社ACCESS,千代田区 神田練塀町
データサイエンティスト(統計分析職),株式会社タスキ,港区 北青山
データサイエンティスト職,株式会社ティ・ティ・ワン,中央区
"新着[マーケティング, リサーチャー・データサイエンティスト, Webディレクター・Webプロデューサー]",弁護士ドットコム株式会社,港区 六本木
経験者歓迎|データサイエンティスト(データ分析、データのビジネス活用),三菱自動車工業株式会社,港区
資産運用会社でのデータサイエンティスト募集,キュースクエア・テクノロジーズ株式会社,千代田区 大手町
リサーチャー・データサイエンティスト,運営元 株式会社セフティライフ,新宿区 新宿その他の勤務地(1)
マネージャー(候補を含む)(データ分析),コグラフ株式会社,品川区 五反田駅
コンサルティングファーム データサイエンティスト(PM)/東京都,株式会社グレイス,新宿区
データサイエンティスト・アナリスト,エヌ・ティ・ティレゾナント株式会社,港区
経験者歓迎|データサイエンティスト(マーケティング/プライシング),株式会社MonotaRO,港区
データサイエンティスト・アナリスト,株式会社タクミインフォメーションテクノロジー,豊島区
"新着[データベース設計・構築, リサーチャー・データサイエンティスト]",株式会社オープンエイト,渋谷区 桜丘町
データサイエンティスト:生産設備の異常検知、製品検査(機械学習、異音検知など/東京),株式会社 アイシン,江東区 東京テレポート駅
コンサルファーム　データサイエンティスト(リモートワーク)/東京・大阪,株式会社グレイス,千代田区
【日本版Kaggleを創る】アルバイト/データサイエンティスト,Nishika(ニシカ) - Nishika株式会社,港区 芝浦ふ頭駅
"新着[リサーチャー・データサイエンティスト, マーケティング, Webディレクター・Webプロデューサー]",株式会社アラテ,大田区 大森駅
"新着[PL・PM(オープンweb系), マーケティング, 経営企画・事業企画, リサーチャー・データサイエンティスト]",ファインディ株式会社(Findy Inc),品川区 大崎広小路駅
業務委託/【Python】ビックデータを用いたデータ分析 の求人・案件,ポート株式会社,港区 六本木駅
機械学習エンジニア/インターネット/Webサービス・ASP,サグリ 株式会社,新宿区 西新宿
SEMスペシャリスト / SEM Specialist,株式会社MonotaRO,港区 赤坂
バイオインフォマティクス・スぺシャリスト,株式会社メタジェン,目黒区
データサイエンティスト,株式会社ORENDA,港区 北青山
データアナリスト,Supershipグループ,港区 虎ノ門
データサイエンティスト(シニアレベル:PJリーダー相当),株式会社エフ・グッド,品川区 目黒駅
"新着[マーケティング, リサーチャー・データサイエンティスト, Webディレクター・Webプロデューサー]",株式会社ベーシック,千代田区 一番町
Rtoasterの開発エンジニア(データ基盤),株式会社ブレインパッド,港区 白金台
データサイエンティスト・データアナリスト 正社員 データサイエンティスト 経験者募集 月収30万以上,株式会社ハイデックス,渋谷区 渋谷駅
楽天技術研究所:ランゲージプログラム シニアリサーチサイエンティスト,楽天グループ株式会社,世田谷区 玉川
